variable,valor
gasvarsorgo7,0.34001059883412826
gasvarsorgo8,0.4364876385336743
gasvarsorgo9,0.4716820612542538
gasvarsorgo10,0.47126127338807383
gasvarsorgo11,0.4720185946719114
gasvarsorgo12,0.35640954495005545
gasvarsorgo13,0.5320855614973262
gasvarsorgo14,0.6732251521298174
gasvarsorgo15,0.680621798268857
gasvarsorgo16,0.5416817033561891
gesptrigo1,72.0
gespmaiz1,180.0
gespsoja11,180.0
gespsoja21,108.0
gespgirasol1,180.0
gespcebada1,72.0
gespsorgo1,180.0
gesptrigo2,72.0
gespmaiz2,180.0
gespsoja12,180.0
gespsoja22,108.0
gespgirasol2,180.0
gespcebada2,72.0
gespsorgo2,180.0
gesptrigo5,83.2
gespmaiz5,118.8
gespsoja15,118.8
gespsoja25,35.6
gespgirasol5,118.8
gespcebada5,83.2
gespsorgo5,118.8
gesptrigo6,36.0
gespmaiz6,90.0
gespsoja16,90.0
gespsoja26,54.0
gespgirasol6,90.0
gespcebada6,36.0
gespsorgo6,90.0
gesptrigo7,32.4
gespmaiz7,81.0
gespsoja17,81.0
gespsoja27,48.6
gespgirasol7,81.0
gespcebada7,32.4
gespsorgo7,81.0
gesptrigo8,35.3
gespmaiz8,88.2
gespsoja18,88.2
gespsoja28,52.9
gespgirasol8,88.2
gespcebada8,35.3
gespsorgo8,88.2
gesptrigo9,41.8
gespmaiz9,104.4
gespsoja19,104.4
gespsoja29,62.6
gespgirasol9,104.4
gespcebada9,41.8
gespsorgo9,104.4
gesptrigo11,33.1
gespmaiz11,82.8
gespsoja111,82.8
gespsoja211,49.7
gespgirasol11,82.8
gespcebada11,33.1
gespsorgo11,82.8
gesptrigo12,43.2
gespmaiz12,108.0
gespsoja112,108.0
gespsoja212,64.8
gespgirasol12,108.0
gespcebada12,43.2
gespsorgo12,108.0
gesptrigo14,33.1
gespmaiz14,82.8
gespsoja114,82.8
gespsoja214,49.7
gespgirasol14,82.8
gespcebada14,33.1
gespsorgo14,82.8
gesptrigo16,33.1
gespmaiz16,82.8
gespsoja116,82.8
gespsoja216,49.7
gespgirasol16,82.8
gespcebada16,33.1
gespsorgo16,82.8
gesptrigo15,28.8
gespmaiz15,72.0
gespsoja115,72.0
gespsoja215,43.2
gespgirasol15,72.0
gespcebada15,28.8
gespsorgo15,72.0
gespsoja210,71.3
gespgirasol10,118.8
notuse10,118.8
gespcebada10,47.5
gespsorgo10,118.8
notuse210,118.8
gesptrigo10,47.5
gespmaiz10,118.8
gespsoja110,118.8
gespgirasol13,73.8
notuse13,73.8
gespcebada13,29.5
gespsorgo13,73.8
notuse213,73.8
gesptrigo13,29.5
gespmaiz13,73.8
gespsoja113,73.8
gespsoja213,44.3
gespgirasol4,118.8
notuse4,118.8
gespcebada4,71.3
gespsorgo4,118.8
notuse24,118.8
gesptrigo4,71.3
gespmaiz4,118.8
gespsoja14,118.8
gespsoja24,47.5
gespcebada3,43.2
gespsorgo3,108.0
notuse23,108.0
gesptrigo3,43.2
gespmaiz3,108.0
gespsoja13,108.0
gespsoja23,64.8
gespgirasol3,108.0
notuse3,108.0
gesatrigo,26.8
gesamaiz,67.0
gesasoja1,67.0
gesasoja2,40.2
gesagirasol,67.0
gesacebada,26.8
gesasorgo,67.0
arrendmaiz1,530.64
arrendgirasol1,530.64
arrendsoja11,530.64
arrendsorgo1,530.64
arrendsoja21,318.38399999999996
arrendtrigo1,212256
arrendcebada1,212256
arrendmaiz2,471.68000000000006
arrendgirasol2,471.68000000000006
arrendsoja12,471.68000000000006
arrendsorgo2,471.68000000000006
arrendsoja22,283.00800000000004
arrendtrigo2,188.67200000000003
arrendcebada2,188.67200000000003
arrendmaiz3,412.71999999999997
arrendgirasol3,412.71999999999997
arrendsoja13,412.71999999999997
arrendsorgo3,412.71999999999997
arrendsoja23,247.63199999999998
arrendtrigo3,165088
arrendcebada3,165088
arrendmaiz4,294.8
arrendgirasol4,294.8
arrendsoja14,294.8
arrendsorgo4,294.8
arrendsoja24,176.88
arrendtrigo4,117.92000000000002
arrendcebada4,117.92000000000002
arrendmaiz5,383.24
arrendgirasol5,383.24
arrendsoja15,383.24
arrendsorgo5,383.24
arrendsoja25,229944
arrendtrigo5,153.29600000000002
arrendcebada5,153.29600000000002
arrendmaiz6,324.28000000000003
arrendgirasol6,324.28000000000003
arrendsoja16,324.28000000000003
arrendsorgo6,324.28000000000003
arrendsoja26,194568
arrendtrigo6,129.71200000000002
arrendcebada6,129.71200000000002
arrendmaiz7,265.32
arrendgirasol7,265.32
arrendsoja17,265.32
arrendsorgo7,265.32
arrendsoja27,159.19199999999998
arrendtrigo7,106128
arrendcebada7,106128
arrendmaiz8,353.76
arrendgirasol8,353.76
arrendsoja18,353.76
arrendsorgo8,353.76
arrendsoja28,212256
arrendtrigo8,141504
arrendcebada8,141504
arrendmaiz9,383.24
arrendgirasol9,383.24
arrendsoja19,383.24
arrendsorgo9,383.24
arrendsoja29,229944
arrendtrigo9,153.29600000000002
arrendcebada9,153.29600000000002
arrendmaiz10,294.8
arrendgirasol10,294.8
arrendsoja110,294.8
arrendsorgo10,294.8
arrendsoja210,176.88
arrendtrigo10,117.92000000000002
arrendcebada10,117.92000000000002
arrendmaiz11,147.4
arrendgirasol11,147.4
arrendsoja111,147.4
arrendsorgo11,147.4
arrendsoja211,88.44
arrendtrigo11,58.96000000000001
arrendcebada11,58.96000000000001
arrendmaiz12,206.35999999999999
arrendgirasol12,206.35999999999999
arrendsoja112,206.35999999999999
arrendsorgo12,206.35999999999999
arrendsoja212,123.81599999999999
arrendtrigo12,82544
arrendcebada12,82544
arrendmaiz13,235.84000000000003
arrendgirasol13,235.84000000000003
