variable,valor
arrendsoja116,210.7
arrendsorgo16,210.7
arrendsoja216,126.41999999999999
arrendtrigo16,84.28
arrendcebada16,84.28
arrendtrigo16,84.28
arrendmaiz16,210.70000000000002
arrendsoja116,196.0
arrendsoja216,126.42
arrendgirasol16,210.7
arrendcebada16,84.28
arrendsorgo16,210.70000000000002
